#,Name,#rrggbb,https://tomari.org/main/java/color/webdata_color.html?cc.csv#
001,v1,#b5184f
002,v2,#cd1f42
003,v3,#dd3737
004,v4,#e55125
005,v5,#e66d00
006,v6,#f29500
007,v7,#eeac00
008,v8,#e2c500
009,v9,#c8bb00
010,v10,#a4b300
011,v11,#4aa315
012,v12,#009a55
013,v13,#008c69
014,v14,#007e77
015,v15,#007c8c
016,v16,#006b93
017,v17,#005a91
018,v18,#00569c
019,v19,#00509d
020,v20,#474798
021,v21,#663e8c
022,v22,#793580
023,v23,#892c71
024,v24,#ab2664
025,b1,#d75674
026,b2,#f15d69
027,b3,#f16056
028,b4,#f7774d
029,b5,#fb8d3d
030,b6,#fba52f
031,b7,#f9bb2b
032,b8,#f2d324
033,b9,#d9c81b
034,b10,#b7bf19
035,b11,#76bb4c
036,b12,#00b275
037,b13,#00a583
038,b14,#00a39b
039,b15,#0094a1
040,b16,#008fb3
041,b17,#007daf
042,b18,#1979ba
043,b19,#4d73bb
044,b20,#716bb6
045,b21,#8b63ac
046,b22,#9c5da0
047,b23,#ab5792
048,b24,#cc5c87
049,s2,#c13547
050,s4,#c7512c
051,s6,#db8b08
052,s8,#d2b700
053,s10,#9aa400
054,s12,#008a52
055,s14,#007b75
056,s16,#006a8b
057,s18,#005692
058,s20,#4b488e
059,s22,#753a7a
060,s24,#a03663
061,dp2,#9f1b34
062,dp4,#a53b1b
063,dp6,#aa6600
064,dp8,#a48f00
065,dp10,#717d00
066,dp12,#006f3e
067,dp14,#00625c
068,dp16,#00526f
069,dp18,#004075
070,dp20,#343472
071,dp22,#5a265f
072,dp24,#811f4c
073,lt2+,#f28c8e
074,lt4+,#ff9e7d
075,lt6+,#fcb869
076,lt8+,#edd267
077,lt10+,#caca61
078,lt12+,#73c89c
079,lt14+,#3faba4
080,lt16+,#52a6bf
081,lt18+,#6591c0
082,lt20+,#8e87be
083,lt22+,#ac7eae
084,lt24+,#d98295
085,lt2,#f59fa0
086,lt4,#ffb195
087,lt6,#ffc887
088,lt8,#f9e08a
089,lt10,#d9d784
090,lt12,#8dd3ad
091,lt14,#71c5be
092,lt16,#71b1c7
093,lt18,#7e9dc3
094,lt20,#9c95c1
095,lt22,#b48fb5
096,lt24,#d995ac
097,sf2,#c8787a
098,sf4,#d5896f
099,sf6,#d59f62
100,sf8,#ccb664
101,sf10,#aead5f
102,sf12,#66a986
103,sf14,#499b95
104,sf16,#498a9e
105,sf18,#58779a
106,sf20,#756f99
107,sf22,#8b698d
108,sf24,#ae6f85
109,d2,#9d5456
110,d4,#a9634c
111,d6,#a9783f
112,d8,#a18e40
113,d10,#85863c
114,d12,#418261
115,d14,#1c7570
116,d16,#1f6578
117,d18,#345474
118,d20,#514d72
119,d22,#664768
120,d24,#854c60
121,dk2,#642a2e
122,dk4,#6f3826
123,dk6,#704b1a
124,dk8,#6b5e1b
125,dk10,#535617
126,dk12,#185138
127,dk14,#004542
128,dk16,#004252
129,dk18,#14344e
130,dk20,#312e4d
131,dk22,#422944
132,dk24,#5d2d3f
133,p2+,#e9b8b8
134,p4+,#e9baaa
135,p6+,#efccaa
136,p8+,#efe0b5
137,p10+,#d8d5a8
138,p12+,#a5ceb6
139,p14+,#9ecdc9
140,p16+,#a5cad7
141,p18+,#a8b7cd
142,p20+,#b7b3cc
143,p22+,#c4afc4
144,p24+,#debbc6
145,p2,#e8cbcb
146,p4,#e8ccc3
147,p6,#f3ddc9
148,p8,#ebe0c4
149,p10,#e5e2c4
150,p12,#bdd9c9
151,p14,#b9d8d5
152,p16,#bed6df
153,p18,#bac4d3
154,p20,#c5c2d3
155,p22,#cebfce
156,p24,#e4ccd3
157,ltg2,#bda2a2
158,ltg4,#bda39a
159,ltg6,#c7b3a0
160,ltg8,#c0b69b
161,ltg10,#bab89b
162,ltg12,#95afa0
163,ltg14,#90aeab
164,ltg16,#95acb5
165,ltg18,#929caa
166,ltg20,#9c99a9
167,ltg22,#a497a4
168,ltg24,#b9a3aa
169,g2,#6f5858
170,g4,#6f5951
171,g6,#776656
172,g8,#716951
173,g10,#6c6a51
174,g12,#576e61
175,g14,#536e6c
176,g16,#4c6068
177,g18,#4a525e
178,g20,#52505e
179,g22,#5a4e5a
180,g24,#6c585e
181,dkg2,#3d2f2f
182,dkg4,#3d2f2b
183,dkg6,#463b30
184,dkg8,#423c2d
185,dkg10,#3e3d2d
186,dkg12,#27362e
187,dkg14,#253634
188,dkg16,#273439
189,dkg18,#242931
190,dkg20,#292830
191,dkg22,#2e272e
192,dkg24,#3c2f33
193,W,#efefef
194,Gy-8.5,#d2d2d2
195,Gy-7.5,#b6b6b6
196,Gy-6.5,#9b9b9b
197,Gy-5.5,#818181
198,Gy-4.5,#696969
199,Gy-3.5,#525252
200,Gy-2.5,#3c3c3c
201,Bk,#292929
